Name,Latitude,Longitude,geometry
TRINITY EVANGELICAL LUTHERAN CHURCH,40.630202012802165,-74.08113531362658,POINT (-74.08113531362658 40.630202012802165)
PILGRIM CONGREGATIONAL CHURCH,40.69361659944144,-73.8430986623479,POINT (-73.8430986623479 40.693616599441434)
TRINITY CME METHODIST CHURCH,40.66834474691005,-73.93042338103228,POINT (-73.93042338103228 40.66834474691005)
MACEDONIA GODS PENTECOSTAL CHURCH,40.789702549300586,-73.94094789377573,POINT (-73.94094789377573 40.789702549300586)
ST PAULS METHODIST CHURCH,40.641185240365616,-73.941002334397,POINT (-73.941002334397 40.641185240365616)
OUR LADY OF MONTSERRATE ST AMBROSE CHURCH,40.694741310270985,-73.9465008102744,POINT (-73.9465008102744 40.694741310270985)
TRINITY EVANGELICAL LUTHERAN CHURCH,40.79628347592803,-73.96803622430204,POINT (-73.96803622430204 40.79628347592803)
HAITIAN EVANGELICAL MISSIONARY CHURCH,40.81013965378753,-73.94457016728606,POINT (-73.94457016728606 40.81013965378753)
KOREAN CHURCH OF QUEENS,40.767255711943314,-73.87993504860705,POINT (-73.87993504860705 40.767255711943314)
SHRINE CHURCH OF ST BERNADETTE,40.61610935995514,-74.01144327111419,POINT (-74.01144327111419 40.61610935995514)
FREE APOSTOLIC CHURCH OF PENTECOST,40.77527512077194,-73.9027810655985,POINT (-73.9027810655985 40.77527512077194)
ST THERESE LISIEUX CHURCH,40.64122721872653,-73.93484793666171,POINT (-73.93484793666171 40.641227218726534)
ST PATRICKS OLD CATHEDRAL,40.72360497732576,-73.99535385932312,POINT (-73.99535385932312 40.723604977325756)
NEW BROOKLYN REFORMED CHURCH,40.67774497569007,-73.91791127926963,POINT (-73.91791127926963 40.67774497569007)
PARK AVE SYNAGOGUE,40.78119559784371,-73.95793642533881,POINT (-73.95793642533881 40.78119559784371)
GRACE CHURCH BROOKLYN HEIGHTS,40.69386183462389,-73.9968039716066,POINT (-73.9968039716066 40.69386183462389)
ST LUKE ST MATHEW CHURCH,40.68268209929257,-73.96726335042447,POINT (-73.96726335042447 40.68268209929257)
ST BENEDICT THE MOOR CATHOLIC CHURCH,40.69633574807729,-73.78259144272039,POINT (-73.78259144272039 40.69633574807729)
FIRST UNION BAPTIST CHURCH,40.85279368576239,-73.90282249783506,POINT (-73.90282249783506 40.852793685762386)
SOUTH BROOKLYN SPANISH CONGREGATION JEHOVAH WITNESSES,40.64716080488491,-74.0073656851469,POINT (-74.0073656851469 40.64716080488491)
OUR LADY OF LEBANON MARONITE CATHOLIC CATHEDRAL,40.69425879243363,-73.99428271229897,POINT (-73.99428271229897 40.69425879243363)
SALEM MISSIONARY BAPTIST CHURCH,40.64716395260063,-73.9591363953405,POINT (-73.9591363953405 40.64716395260063)
LUTOWISKER CHEVRA SYNAGOGUES,40.71671464174493,-73.98065754949184,POINT (-73.98065754949184 40.71671464174493)
GRACE LUTHERAN CHURCH QUEENS VILLAGE,40.713775113208186,-73.73540633287371,POINT (-73.73540633287371 40.713775113208186)
SAINT PAUL'S CHAPEL COMPLEX,40.71148948131605,-74.00962037279908,POINT (-74.00962037279908 40.71148948131605)
ETHIOPIAN ORTHODOX TEWAHEDO CHURCH OF OUR SAVIOR,40.874792330050994,-73.87877284906483,POINT (-73.87877284906483 40.874792330050994)
ST PETER & PAUL RC CHURCH,40.71354399031463,-73.96403056854888,POINT (-73.96403056854888 40.713543990314626)
MT LEBANON BAPTIST CHURCH,40.68117388555533,-73.93420174259215,POINT (-73.93420174259215 40.681173885555324)
FRIENDSHIP CHURCH OF CHRIST BAPTIST,40.7578788433781,-73.86422984754952,POINT (-73.86422984754952 40.7578788433781)
FULL GOSPEL TABERNACLE OF FAITH CHURCH,40.67891079129064,-73.9175311565368,POINT (-73.9175311565368 40.67891079129064)
