Latitude,Longitude,Offence,Offence weight,geometry
40.718235,-73.958367,"Theft under $5,000",37,POINT (-73.958367 40.718235)
40.689041,-73.958614,Assault - level 3,405,POINT (-73.958614 40.689041)
40.60497859593714,-73.75441852707769,Assault - level 3,405,POINT (-73.75441852707769 40.60497859593714)
40.826517,-73.899531,"Theft under $5,000",37,POINT (-73.899531 40.826517)
40.698401,-73.92225,Disturb the peace,9,POINT (-73.92225 40.698401)
40.719365,-73.811011,Assault - level 3,405,POINT (-73.811011 40.719365)
40.734637,-73.990328,"Theft under $5,000",37,POINT (-73.990328 40.734637)
40.65173309769204,-73.93038095615559,Theft of a motor vehicle,84,POINT (-73.93038095615559 40.65173309769204)
40.755704,-73.987198,Robbery,583,POINT (-73.987198 40.755704)
40.58313189099152,-73.96539184336872,Cannabis possession,7,POINT (-73.96539184336872 40.58313189099152)
40.651491,-73.93569,Criminal harassment,45,POINT (-73.93569 40.651491)
40.705778,-74.00894,Disturb the peace,9,POINT (-74.00894 40.705778)
40.797292,-73.948926,"Theft under $5,000",37,POINT (-73.948926 40.797292)
40.690643,-73.819551,Cannabis possession,7,POINT (-73.819551 40.690643)
40.83639292877015,-73.91586966351923,Counterfeiting currency,69,POINT (-73.91586966351923 40.83639292877015)
40.748688,-73.884123,"Theft over $5,000",139,POINT (-73.884123 40.748688)
40.651782,-73.883805,Mischief,30,POINT (-73.883805 40.651782)
40.661495,-73.907661,Disturb the peace,9,POINT (-73.907661 40.661495)
40.7426636084461,-73.9980491084798,Sexual assault - level 2,678,POINT (-73.9980491084798 40.7426636084461)
40.734461,-73.99895,"Theft under $5,000",37,POINT (-73.99895 40.734461)
40.70302633725937,-73.8084380592426,Mischief,30,POINT (-73.8084380592426 40.70302633725937)
40.644823,-73.958,Theft of a motor vehicle,84,POINT (-73.958 40.644823)
40.603311,-73.998396,Assault - level 3,405,POINT (-73.998396 40.603311)
40.637437,-73.94814,Criminal harassment,45,POINT (-73.94814 40.637437)
40.86135236106006,-73.89773676351642,Theft of a motor vehicle,84,POINT (-73.89773676351642 40.86135236106006)
40.849664,-73.904326,Criminal harassment,45,POINT (-73.904326 40.849664)
40.85779457020365,-73.88262787193887,Mischief,30,POINT (-73.88262787193887 40.85779457020365)
40.625805,-74.075137,Cannabis possession,7,POINT (-74.075137 40.625805)
40.754464,-73.878064,Criminal harassment,45,POINT (-73.878064 40.754464)
40.889466,-73.857857,Assault - level 3,405,POINT (-73.857857 40.889466)
40.63511,-74.027335,Mischief,30,POINT (-74.027335 40.63511)
40.716337,-74.001251,Disturb the peace,9,POINT (-74.001251 40.716337)
40.729971,-73.992138,Criminal harassment,45,POINT (-73.992138 40.729971)
40.596387,-73.936778,Assault - level 3,405,POINT (-73.936778 40.596387)
40.739664,-73.878203,"Theft under $5,000",37,POINT (-73.878203 40.739664)
40.733512,-74.003532,Assault - level 3,405,POINT (-74.003532 40.733512)
40.63417,-74.023701,"Theft under $5,000",37,POINT (-74.023701 40.63417)
40.65406989766691,-73.96176188663709,Cannabis possession,7,POINT (-73.96176188663709 40.65406989766691)
40.697626,-73.934604,"Theft under $5,000",37,POINT (-73.934604 40.697626)
40.665524,-73.894241,Assault - level 3,405,POINT (-73.894241 40.665524)
40.747721,-73.986837,Assault - level 3,405,POINT (-73.986837 40.747721)
40.720408,-73.987246,Mischief,30,POINT (-73.987246 40.720408)
40.768595,-73.959984,"Theft under $5,000",37,POINT (-73.959984 40.768595)
