the_geom,SEGMENTID,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.74951503986804 40.70406705061894),150207,0,,1.0,1032272,1,4457716,4.0,07/17/2018 12:00:00 AM,,9,OTHER,,262452,NEW MT ZION PENTECOSTAL HOLY CHURCH
POINT (-73.92890866829545 40.875319994286),345734,3599,,1.0,1024349,1,0,1.0,02/06/2014 12:00:00 AM,11/03/2022 12:00:00 AM,4,OTHER,,0,DYCKMAN SOCCER FIELDS
POINT (-73.9171056824829 40.802814427795056),70100,0,N,1.0,480,9,0,2.0,05/14/2009 12:00:00 AM,08/07/2020 12:00:00 AM,4,DoITT,21357001.0,0,PLAYGROUND 134
POINT (-73.95547775824636 40.645254140321725),28462,0,,2.0,16427,2,3117881,3.0,05/14/2009 12:00:00 AM,11/23/2016 12:00:00 AM,7,NYPD,,3156897,SEARS BEVERLEY RD
POINT (-73.88120393438395 40.848344851716256),139657,514,,1.0,8245,6,2118167,2.0,05/14/2009 12:00:00 AM,06/27/2018 12:00:00 AM,4,DoITT,,0,BRONX ZOO GIFT SHOP NEAR CONGO GORILLA FOREST
POINT (-74.01532061066702 40.71524161262876),18185,0,,2.0,1032530,4,1085867,1.0,08/30/2018 12:00:00 AM,,7,OTHER,,1000303,CONRAD HOTEL
POINT (-73.96321843443587 40.767347182387304),328969,0,,2.0,12110,16,1042477,1.0,05/14/2009 12:00:00 AM,03/19/2021 12:00:00 AM,2,NYPD,,1034283,PARK EAST DAY SCHOOL
POINT (-73.82085226411806 40.71141596458274),56398,4800,X,2.0,1036230,1,0,4.0,10/13/2020 12:00:00 AM,02/22/2021 12:00:00 AM,4,OTHER,40098504.0,0,HOOVER PLAYGROUND SITTING AREA
POINT (-73.98312890371241 40.774464031726055),330146,0,,2.0,2674,4,1028838,1.0,05/14/2009 12:00:00 AM,03/25/2021 12:00:00 AM,7,DoITT,,1026477,PHILLIPS CLUB HOTEL
POINT (-73.91436714493278 40.67046362410229),9002261,168,,2.0,16273,3,3080727,3.0,05/14/2009 12:00:00 AM,10/05/2012 12:00:00 AM,5,DoITT,,3107266,MARCUS GARVEY SENIOR CENTER
POINT (-73.90871580024334 40.58031887316047),347494,0,,2.0,8775,11,0,3.0,05/14/2009 12:00:00 AM,11/17/2022 12:00:00 AM,6,NOAA,,0,GERRITSEN INLET LIGHTED BUOY 9
POINT (-73.96771072468043 40.76097235174955),165472,0,,2.0,2205,4,1036915,1.0,05/14/2009 12:00:00 AM,08/16/2016 12:00:00 AM,8,NYPD,,1031464,SPANISH CONSULATE
POINT (-74.03131560078357 40.60880405924306),115047,3418,X,2.0,1021274,6,3345710,3.0,07/24/2013 12:00:00 AM,04/30/2014 12:00:00 AM,8,OTHER,35244027.0,5152751,FT HAMILTON BARRACKS
POINT (-74.01194278857709 40.707958867321146),23094,461,X,1.0,14713,1,1001028,1.0,05/14/2009 12:00:00 AM,03/21/2016 12:00:00 AM,9,DCP,13261603.0,5155131,TRINITY CHURCH
POINT (-73.91738859021655 40.855122235451496),278248,4781,G,2.0,1035893,9,0,2.0,08/12/2020 12:00:00 AM,,4,OTHER,21245001.0,0,CEDAR PLAYGROUND
POINT (-73.95747974702695 40.823612708185465),111969,4278,,1.0,1030611,8,1090423,1.0,12/05/2017 12:00:00 AM,07/03/2021 12:00:00 AM,4,OTHER,,0,RIVERBANK PARK BASKETBALL COURTS
