listing_id,borough_Queens,borough_Manhattan,borough_Brooklyn,borough_Bronx,distance_to_nearest_crime_m,number_of_crimes_within_100m,average_offence_weight_within_100m,distance_to_nearest_bus_stop_m,number_of_bus_stops_within_100m,distance_to_nearest_subway_station_m,number_of_subway_stations_within_100m,distance_to_nearest_restaurant_m,number_of_restaurants_within_100m,distance_to_nearest_education_institution_m,number_of_education_institutions_within_100m,distance_to_nearest_cultural_institution_m,number_of_cultural_institutions_within_100m,distance_to_nearest_recreation_point_m,number_of_recreation_points_within_100m,distance_to_nearest_religious_institution_m,number_of_religious_institutions_within_100m,distance_to_nearest_health_institution_m,number_of_health_institutions_within_100m,distance_to_nearest_main_attraction_m
928897391317476486,False,True,False,False,21.34968684359693,15,90.33333333333331,55.1348657790321,1,391.01953600011706,0,66.17020912265507,3,223.63334560106665,0,171.7183290682386,0,561.6658150975915,0,77.43731524170727,1,275.51889353823515,0,476.5959375941044
44393462,False,True,False,False,43.35653078678239,39,91.6153846153846,81.61401691807642,3,123.4746452077364,0,16.307399430774307,6,102.61568631718971,0,16.818554615414747,1,146.73961441200987,0,169.79015318947708,0,163.12582960036613,0,556.25114484152
926597887289557781,False,True,False,False,51.46820078388481,106,147.47169811320754,53.55660138384275,5,228.37894758418847,0,48.96661222633051,22,76.74284603284444,1,114.16157423793466,0,52.16685725779732,1,80.84428490522343,1,1235.7192578353513,0,531.7395900813832
48452927,False,True,False,False,28.473798955183696,34,121.05882352941175,48.652679044659614,4,283.88464041044017,0,22.46308091748173,21,76.94911847266528,2,212.26531932548397,0,19.99504624840572,2,110.78601446871232,0,1028.4468819487968,0,2130.329668136183
631097874868219629,False,False,True,False,17.67661347645535,9,173.33333333333334,31.54232658523105,2,357.252657775342,0,24.183524455164203,7,39.751150392311466,1,556.7195443879752,0,278.49578439121865,0,188.59246503605567,0,656.6932877552564,0,8991.493742896251
1097176953656037239,False,False,True,False,55.62955682395231,36,162.02777777777777,150.17321704878088,0,269.300768881234,0,85.07094414904009,2,315.44672825298886,0,387.5191013929526,0,519.5332735473539,0,94.43390641875928,1,1006.4626919708812,0,7618.641329804784
37462923,False,False,True,False,7.735634204774357,6,62.66666666666666,207.50943814122928,0,1343.8753064871898,0,233.36795807418963,0,108.52718105154472,0,941.1876124838636,0,542.178308094756,0,590.9025429763126,0,1338.2415394748664,0,12490.213979839731
33996721,False,True,False,False,19.31890491424955,42,114.83333333333331,43.27167950569752,1,742.3668440160303,0,43.09527494132215,3,182.55810850799477,0,257.1831600016365,0,152.1592839412141,0,298.90530942429695,0,430.1912387995924,0,1131.7070185713358
49729445,False,True,False,False,19.811659993000102,46,174.47826086956522,78.82288990425059,2,330.0473570405491,0,27.76994788608814,11,7.696110596150922,2,180.29493060363237,0,311.1515818082749,0,29.15367212575691,1,758.6815572519216,0,1736.903176597064
1025352749077468607,False,False,True,False,43.12441078585138,33,199.9090909090909,66.49519841881002,2,693.6145382135734,0,83.27596439906078,3,116.17060345426688,0,487.4097899625161,0,219.13853032728187,0,157.8494817865229,0,1327.0366749081556,0,8636.135726483402
629569426296704978,True,False,False,False,55.07495061184007,42,86.5952380952381,201.66223501106936,0,608.5644805121639,0,54.59661710136721,2,696.420904939093,0,584.8399446649095,0,389.8258188584829,0,604.1280823193163,0,1297.806746669698,0,11022.649425752032
1135132969725003434,True,False,False,False,35.554394924870586,6,50.333333333333336,150.1271345747972,0,647.4404795034285,0,431.1279310905031,0,458.88570987087246,0,906.3968906757568,0,29.724872543829253,1,809.1953238983842,0,3608.778672705089,0,13671.462349975476
42449569,False,False,True,False,19.495530198038747,9,246.66666666666663,65.46537403580149,2,254.56826921292708,0,57.06109155195597,1,206.96077186072225,0,522.0918555931503,0,340.68457639769275,0,262.1711584674701,0,1364.056561698396,0,8742.954561966912
49793548,False,True,False,False,27.519082231610977,36,170.19444444444446,97.28296642801644,1,269.582825828434,0,26.635917463141485,13,138.73456777745454,0,73.57533442094397,1,209.14234341888684,0,123.2744890277293,0,777.4138924725828,0,1868.6227844689536
1052411543964095430,False,True,False,False,36.92880268818454,14,123.78571428571428,27.489558858106356,2,350.2509340544304,0,89.89576635701977,1,89.39617589476943,1,249.68642755680204,0,104.36782981528698,0,143.67499965802062,0,685.0195886382945,0,2854.449207394712
